title,author,isbn,totalcheckouts
"Persuasive business proposals :","Sant, Tom.",0814471536,57
"A double Coffin /","Butler, Gwendoline.",0312185693,48
"Eleventh hour :","Coulter, Catherine.",0375431713,112
"The new Oxford picture dictionary /","Parnwell, E. C.","019434651X (pbk.) :",59
"Road rage /","Rendell, Ruth,","0609600567 (alk. paper)",22
"The secret cases of Sherlock Holmes /","Thomas, Donald Serrell.",0786705167,42
"Where the willows weep /","Shaw, Patricia.","0312119143 :",30
"Cinderella Skeleton /","San Souci, Robert D.",0152020039,59
"Latitudes of melt :","Clark, Joan,","156947267X (alk. paper)",27
"Gutenberg :","Man, John.",0471218235,29
"The successful self-publisher :","Kavka, Dorothy.",1879260387,31
"I Corinthians :",,"0385028539 :",9
"Calligraphy, a practical handbook for the beginner /","Parker, Muriel M.","0517381354 (Crown)",50
"The doorbell rang /","Stout, Rex,",,43
"The science of plants /","Bocknek, Jonathan.","0836824679 (lib. bdg.)",56
"How to improve your mind.","Spinoza, Benedictus de,",,36
"The power broker :","Caro, Robert A.",0394720245,28
"Before the knife :","Slaughter, Carolyn.","0375413979 (cloth) | 0375713468 (pbk.)",16
"Scruffy /","Parish, Peggy.","0060246596 : | 006024660X (lib. bdg.) :",225
"Go where you wanna go :",,"0815412045 (alk. paper)",16
"Hunt for the last cat /","Denzel, Justin F.","0399221018 :",26
"Aunt Dimity's good deed /","Atherton, Nancy.","0670867152 (alk. paper)",140
"Ghost soldiers :","Sides, Hampton.",0385495641,51
"An awfully big adventure /","Bainbridge, Beryl,",,14
"Assignment Oswald /","Hosty, James P.",1559703113,19
"Atonement :","McEwan, Ian.","0754017524 (U.K. hardcover : alk. paper) | 0754091473 (U.K. softcover : alk. paper) | 0786239212 (U.S. hardcover : alk. paper)",65
"The snake tattoo /","Barnes, Linda.","0312026439 :",87
"A traveller's history of France /","Cole, Robert.","0940793474 :",36
"Dishonored /","Barrett, Maria.",0446520357,25
"The Devil knows how to ride :","Leslie, Edward E.","0679424555 (hardcover)",17
"The constant gardener :","Le Carré, John,","0743215567 (large print) :",58
"Windchill summer :","Mailer, Norris Church.","0375503196 (acidfree paper)",33
"Cuba libre /","Leonard, Elmore,",0385323832,40
"Zinn & the art of road bike maintenance /","Zinn, Lennard.","1884737706 (pbk.)",21
"Postern of fate /","Christie, Agatha,",,49
"Kilo class /","Robinson, Patrick,",0060191295,55
"Al-Anon's twelve steps & twelve traditions.",,0910034249,39
"Ragtime /","Doctorow, E. L.,","0394469011. | 0394499377 | 9780812978186",23
"Rhinos who surf /","Mammano, Julie.","0811810003 (hc)",77
"The perfect recipe baking book :","Jaffe, Murray.","0525942289 (acidfree paper)",68
"Everything's eventual :","King, Stephen,",0743235150,23
"The well of lost plots.","Fforde, Jasper","0670032891 : HRD",48
"Don Juan McQueen.","Price, Eugenia.",0397010575,23
"Bitterroot Landing /","Reynolds, Sheri.","039913994X (alk. paper) :",31
"Black cross /","Iles, Greg.",052593829X,134
"Cat's prey ","Eden, Dorothy,",0896215989,41
"The education of Koko /","Patterson, Francine.","0030461014 :",29
"Petunia /","Duvoisin, Roger,",0394908651,97
"Talking to dragons /","Wrede, Patricia C., 1953-",0152046917,35
"The life of Benjamin Banneker","Bedini, Silvio A.",0684125749,14
"The complete family health book /",,0312253087,31
"Justice Hall :","King, Laurie R.",0553111132,55
"Riptide :","Coulter, Catherine.","0786226412 (lg. print : hc : alk. paper) | 0786226420 (lg. print : sc : alk. paper)",124
"The seven mountains of Thomas Merton /","Mott, Michael.","0395313244 :",23
"Franz Kafka.","Baumer, Franz,",0804420270,14
"A personal odyssey /","Sowell, Thomas,",0684864649,12
"The Watsons go to Birmingham--1963 /","Curtis, Christopher Paul.",0385321759,48
"The cat-nappers :","Wodehouse, P. G.",0671219723.,60
"Crafts for Thanksgiving /","Ross, Kathy",1562945351,42
"Crossroad blues :","Atkins, Ace.",0312192541,35
"The llama who had no pajama :","Hoberman, Mary Ann.",0152001115,39
"The day the Rabbi disappeared :","Schwartz, Howard,",0670887331,20
"Growing up rich /","Bernays, Anne.",0316091885,39
"Hominids /","Sawyer, Robert J.","0312876920 (acidfree paper)",56
"Friday night at Silver Star :","Henley, Patricia.","0915308843 (pbk.) :",5
"Ash Wednesday :","Hawke, Ethan,",037541326X,29
"How the rooster got his crown /","Poole, Amy Lowry.",0823413896,22
"The Twentieth train :","Schreiber, Marion,",080211766X,17
"An eye for an eye.","Trollope, Anthony,",,50
"Working with emotional intelligence /","Goleman, Daniel.",0553104624,67
"Cars of the fifties and sixties /","Sedgwick, Michael.",,41
"Darth maul :","Reaves, Michael.",0345435397,59
"The shopkeeper's wife /","Sickels, Noëlle,",0312193335,44
"The collected stories /","Theroux, Paul.","0670861278 (alk. paper)",20
"Right as rain :","Pelecanos, George P.",0316695262,62
"The alibi /","Brown, Sandra,",0446519804,72
"Great whales, the gentle giants /","Lauber, Patricia.","0805017178 (acidfree paper) :",92
"Passing for thin :","Kuffel, Frances.",0767912918,30
"Riley in the morning ","Brown, Sandra,",0375430954,89
"The Doll people /","Martin, Ann M.,","0786803614 (trade) | 0786823720 (lib. ed.)",43
"The fortune teller's daughter /","Wilson, Susan,","074344230X :",53
"Who wrote the New Testament? :","Mack, Burton L.","0060655178 (alk. paper) | 0060655186 (pbk. : alk. paper)",17
"Focus your business :","Brandt, Steven C.",1888925035,32
"The annotated Alice :","Carroll, Lewis,",,47
"Lyonel Feininger.","Feininger, Lyonel Charles Adrian,",0275435709,15
"The collector of hearts :","Oates, Joyce Carol,",0525944451,31
"The big bug book /","Facklam, Margery.","0316273899 :",115
"A history of the wife /","Yalom, Marilyn.",0060193387,32
"Evan help us /","Bowen, Rhys.",0312194110,88
"No mercy :","Walsh, John,","0671019937 :",35
"Widow's walk /","Parker, Robert B.,",0399148450,79
"Love and ambition /","Sheldon, Sidney.",,69
"Electric guitars :","Bacon, Tony.",1571452818,60
"Colder than hell :","Owen, Joseph R.","1557506604 (alk. paper)",22
"A ticket to die for /","Walker, David J.,",0312193459,39
"Smoke and mirrors :","Gaiman, Neil.","0380973642 (hardcover)",118
"The wedding /","West, Dorothy,",0385471432,3
"Stone kiss :","Kellerman, Faye.",0446530387,18
"The Jewish book of etiquette /","Isaacs, Ronald H.","0765759950 (alk. paper)",25
"The atlas of bird migration :",,"0679438270 :",33
"Rebels :","De Rosa, Peter,",0385267525,34
"Ten, nine, eight /","Bang, Molly.","0688009069 : | 0688009077 (lib. bdg.) :",47
"Ten, nine, eight /","Bang, Molly.","0688009069 : | 0688009077 (lib. bdg.) :",78
"The coming /","Haldeman, Joe W.",0441007694,44
"Sandra Day O'Connor /","Huber, Peter W.","0791004481 (pbk.) | 1555466729",45
"The reign of the favored women /","Chamberlin, Ann.","0312865929 (alk. paper)",30
"Master Georgie :","Bainbridge, Beryl,","0786705639 :",24
"Black tide :","DuBois, Brendan.","1883402581 :",43
"Cowboy /","Murdoch, David Hamilton,","0679840141 : | 0679940146 (lib. bdg.)",27
"At swim, two boys :","O'Neill, Jamie.",0743222946,24
"Minerva Louise at the fair /","Stoeke, Janet Morgan.",0525464395,66
"Things my girlfriend and I have argued about :","Millington, Mil.","081296666X (acidfree paper)",20
"Turnabout /","Haddix, Margaret Peterson.","0689821875 :",15
"Turnabout /","Haddix, Margaret Peterson.","0689821875 :",74
"Lieberman's folly /","Kaminsky, Stuart M.",0312053983,75
"Probability 1 :","Aczel, Amir D.",0151003769,18
"The Bielski brothers :","Duffy, Peter,",0066210747,54
"Promises to keep :","Robinson, Sharon,",0439425921,54
"Barnaby Rudge.","Dickens, Charles,",,25
"What's the matter, Davy? /","Weninger, Brigitte.","155858899X (trade) | 1558589007",61
"Building /","Haslam, Andrew.","1568472595 : | 1568472595:",53
"Nano /","Marlow, John Robert.","0765301296 (acidfree paper)",17
"Cities of the plain /","McCarthy, Cormac,","0679423907 (alk. paper)",8
"Lions of July :","Jannen, William,",0891415696,25
"October smiled back /","Peters, Lisa Westberg.","0805017763 (alk. paper)",58
"Jungle Halloween /","Cocca-Leffler, Maryann,","0807540560 (hardcover)",38
"Ramadan /","Ghazi, Suhaib Hamid.","0823412547 (hardcover : alk. paper)",38
"Dachau 29 April 1945 :",,"0896723917 (alk. paper)",15
"Wemberly worried /","Henkes, Kevin.","0688170277 (trade : alk. paper) | 0688170285 (lib. bdg. : alk. paper)",48
"The best little girl in the world /","Levenkron, Steven,","0809276992 :",24
"Good food for camp & trail :","Miller, Dorcas S.,","0871088118 (pb : recycled paper) :",37
"Mrs. Malory :","Holt, Hazel,","0525941509 (acidfree paper)",44
"Ivan the Terrible","Payne, Robert,",0690005822,26
"The chocolate touch /","Catling, Patrick Skene.","0688221874. | 0688321879",114
"Charles Sheeler /","Sheeler, Charles,",0823047997,9
"The life of Thomas More /","Ackroyd, Peter,",0385477090,24
"The sugar snow spring.","Hoban, Lillian.","0060223332 | 0060223340 (lib. bdg.)",35
"Carpenter's gothic /","Gaddis, William,",0670697931,10
"White Fang.","London, Jack,",,47
"The Cow buzzed /","Zimmerman, Andrea Griffing.","0060208082 : | 0060208090 (lib. bdg.)",102
"The respiratory system /","Stille, Darlene R.",0516204483,104
"Dear Irene :","Burke, Jan.",0671782169,88
"Artists of the Old West,","Ewers, John Canfield.",,8
"Belle Teal /","Martin, Ann M.,","0439098238 :",36
"The bookman's promise :","Dunning, John,",0743249925,33
"Paris without end :","Perl, Jed.",0865473137,11
"Golf skills :","Hyder, Roger.",1552094073,44
"Ralph S. Mouse /","Cleary, Beverly.",0688014526,60
"Ralph S. Mouse /","Cleary, Beverly.",0688014526,95
"The Julius House :","Harris, Charlaine.","0684196409 :",75
"The education of Black people;","Du Bois, W. E. B.",,17
"The literary life and other curiosities /","Hendrickson, Robert,",0670430293,14
"Maggie's American dream :","Comer, James P.",0453005888,12
"Gershon's monster :","Kimmel, Eric A.",043910839X,21
"Lonely planet unpacked :",,186450062X,22
"45 effective ways for hiring smart! :","Mornell, Pierre.",0898159725,32
"Small steps :","Kehret, Peg.",0807574570,15
"Kinder- und hausmarchen,","Grimm, Jacob,",,14
"Halloween Motel /","Diviny, Sean.","0060288159 | 0060288167 (lib. bdg.)",68
"The lake of tears /","Rodda, Emily.","9780545460217 (pbk.)",14
"Many lives, many masters /","Weiss, Brian L.",0446520594,154
"The best awful there is /","Fisher, Carrie.",0684809133,28
"N. C. Wyeth :","Wyeth, N. C.",0517207257,33
"The spotted cats /","Tapply, William G.","0385302339 :",49
"The return of the dancing master /","Mankell, Henning,",1565848608,50
"The dance of deception :","Lerner, Harriet Goldhor.",0060168161,44
"The juggling book /","Hackett, Phil.",1558213260:,27
"Judas child /","O'Connell, Carol,","0399143807 (alk. paper)",64
"Love stories for the rest of us /",,"0916366901 :",25
"Sara Kate saves the world /","Pfeffer, Susan Beth,","0805031480 :",95
"Moving on :","McMurtry, Larry.",,29
"Gems :","Graf, Bernhard.",3791325817,21
" Chi mio de ping tia hwa",,,13
"The confession /","Steinhauer, Olen.",0312303289,19
"Aloft /","Lee, Chang-rae.","1573222631 (acidfree paper)",29
"Bertie & the crime of passion /","Lovesey, Peter.","0892965509 :",46
"Two greedy bears /","Ginsburg, Mirra.",002736450X,134
"Sister Carrie :","Dreiser, Theodore,",393043258,45
"Murder walks the plank :","Hart, Carolyn G.","0060004746 (alk. paper)",39
"The good German :","Kanon, Joseph.","0805064222 (hb)",11
"The hero within :","Pearson, Carol,","0062515551 (pbk.)",19
"Dear Scott, dearest Zelda :","Fitzgerald, F. Scott",0312268750,23
"I'll catch the moon /","Crews, Nina.","068814134X (trade) | 0688141358 (lib. bdg.)",107
"The Vibe history of hip hop /",,"0609805037 (pb.)",5
"A philosophical investigation /","Kerr, Philip.","0374105065 :",11
"Once more around the park:","Angell, Roger.",0345367375,13
"A life in a year :","Ebert, James R.,",0891415009,33
"A world away /","O'Nan, Stewart,","0805057749 (alk. paper)",37
"Mallets aforethought /","Graves, Sarah.","0553803085 (alk. paper)",46
"Giants in the earth;","Rolvaag, Ole Edvart,",,22
"All I could get :","Lasser, Scott.","0375413251 (alk. paper)",25
"Bugs! Bugs! Bugs! /","Barner, Bob.","0811822389 | 9780811822381",32
"Season's revenge :","Kisor, Henry.",0765306662,27
"How I spent my summer vacation /","Teague, Mark.","0517599988 (trade) | 0517599996 (lib. ed.)",129
"Natural health, natural medicine :","Weil, Andrew.",0395493404,52
City;,"Macaulay, David.",039519492X,38
"Fortunes of war /","Coonts, Stephen,",0312185839,49
"Who owns history? :","Foner, Eric,","0809097044 (hc : alk. paper)",17
"A new kind of science /","Wolfram, Stephen.","1579550088 (alk. paper)",27
"The Irish village murder /","Deere, Dicey.",0312275226,51
"Living well is the best revenge.","Tomkins, Calvin,",0670435910,9
"Natalie :","Wood, Lana,",0399129030,25
"Pyramids /","Millard, Anne.",1856976742,104
"Bodega dreams /","Qui~nonez, Ernesto.",0375705899,17
"The backyard bird feeder's bible :","Roth, Sally.","0875968341 (hardcover : acidfree paper)",28
"Long time no see ","Isaacs, Susan,",0066214041,71
"MacLaren's Gaelic self-taught :","MacLaren, James.",,52
"Peter's place /","Grindley, Sally.",0152009167,70
"The power of 5 :","Bloomfield, Harold H.,","0875962017 (acidfree) :",51
"Forged in battle :","Glatthaar, Joseph T.,","0029118158 :",22
"The thyroid sourcebook :","Rosenthal, M. Sara.","0737304952 (pbk.)",74
"On display :","Dilcock, Lesley.",184172274X,41
"African-American inventors /","McKissack, Pat,","1562944681 (lib. bdg.)",39
"Arms and equipment of the Civil War.","Coggins, Jack.",,1
"'46, Chicago /","Monroe, Steve,","0786867310 :",22
"Where do babies come from? /","Royston, Angela.",0789405792,61
"Bonnard,","Bonnard, Pierre,",,23
"Bad business :","Parker, Robert B.,","0399151451 (acidfree paper)",64
"Bonnard and his environment.",,,13
"The complete idiot's guide to knitting and crocheting /","Diven, Gail.",0028621239,128
"The avengers /","Cohen, Rich.","0375405461 (hc.) | 0375705295 (pbk.)",28
"Math equals :","Perl, Teri.",0201057093,10
"The bawdy basket /","Marston, Edward.",0312285019,31
"In the kingdom of mists /","Jakeman, Jane.",0425195120,32
"Green beans /","Thomas, Elizabeth,","0876147082 (lib. bdg.) :",116
"Tropic of Capricorn /","Miller, Henry,",,17
"The Lions of Lucerne /","Thor, Brad.","0743436733 :",129
"American art pottery /","Rago, David.",1577150147,42
"The pursuit /","Lindsey, Johanna.",0380978555,82
"G is for googol :","Schwartz, David M.",1883672589,39
"Christmas ideas.",,,
"Hurricane Bay /","Graham, Heather.",1551668971,63
"Healing ADD :","Amen, Daniel G.","039914644X (acidfree paper)",10
"To catch a king :","Higgins, Jack,","0812826760 :",43
"New Cardiff /","Webb, Charles Richard,",0743444167,20
"Night falls like silk /","Eagle, Kathleen.","006621470X (acidfree paper)",26
"Noir /","Jeter, K. W.",0553104837,27
"Tea from an empty cup /","Cadigan, Pat,","0312866658 (alk. paper)",25
"The devil's novice :","Peters, Ellis,","0688032478 :",43
"Oona :","Scovell, Jane,",0446517305,25
"The president's daughter /","Chase-Riboud, Barbara.","0517598612 (hc) :",35
"20th century glass /","Cousins, Mark.",1573353124,14
"Vocabulary improvement: a program for self-instruction,","Davis, Nancy B.","0070155143 | 9780070155145 | 0070155135 | 9780070155138",37
"Our father :","French, Marilyn,","0316293903 :",55
"The ancient world.","Garbini, Giovanni.",,18
"Brown :","Rodriguez, Richard.","0670030430 (alk. paper)",9
"Citizen 13660 /","Okubo, Mine.",0405112874,16
"The English philosophers from Bacon to Mill,","Burtt, Edwin Arthur,",,25
"Milk glass moon :","Trigiani, Adriana.","0375506187 (alk. paper)",125
"Liar :","Burke, Jan.",0684803453,79
"The brass dolphin /","Trollope, Joanna.",0670885185,39
"Sara Kate, superkid /","Pfeffer, Susan Beth,","0805031472 (acidfree paper) :",88
"Alligators all around,","Sendak, Maurice",,134
"The golden age :","Vidal, Gore,",0385500750,5
Rumpelstiltskin;,"Tarcov, Edith.",0590073931,31
"Ransom /","Steel, Danielle.","0385336322 | 0385337841 (ltd. ed.)",41
"Grow your business /","Henricks, Mark.",1891984209,20
"The legend of Red Horse Cavern.","Paulsen, Gary",0440410231,56
"Birthday party murder :","Meier, Leslie.",1575668327,78
"Fault lines /","Salter, Anna C.",0671003127,35
"Steal away /","Clark, Katharine.","0449002764 (alk. paper)",50
"Beetles /","Squire, Ann.",0516226584,69
"Beautiful easy flower gardens :","Sombke, Laurence.","0875967000 (hc : alk. paper) | 0875967388 (pbk. : alk. paper)",104
"The good life /","Bennett, Tony,",0671024698,3
"Teacher /","Edmundson, Mark,","0375504079 (alk. paper)",53
"Nightmare at 20,000 feet :","Matheson, Richard,","0312878273 (pbk.) :",23
"First among equals /","Archer, Jeffrey,",0671504061,115
"Speaking with the angel :",,1573228583,59
"In pursuit of the proper sinner /","George, Elizabeth,",0553102354,55
"Why she went home :","Rosenfeld, Lucinda.","1400061857 (acidfree paper)",25
"You never can tell ","Eagle, Kathleen.","0066209609 (lg. print : pbk.) :",63
"Ender's shadow /","Card, Orson Scott.",031286860X,48
"The Honk and Holler opening soon /","Letts, Billie.",0446521582,98
"Death at the spring plant sale /","Ripley, Ann.",1575667797,53
"My first cousin once removed :","Stuart, Sarah Payne.",006017689X,16
"The haunting of L. /","Norman, Howard A.","0374168253 (hardcover : alk. paper)",17
"Bang the drum slowly.","Harris, Mark,",,20
"Miles Davis /","Frankl, Ron.","0791021564 :",14
"The complete guide to sharpening /","Lee, Leonard,",1561580678,34
"44 Irish short stories,","Garrity, Devin A.,",,33
"A dictionary of modern English usage,","Fowler, H. W.",,5
"Shadow account /","Frey, Stephen W.",0345457587,42
"Odilon Redon :","Berger, Klaus,",,17
"The corporal works of murder /","O'Marie, Carol Anne.",0312209177,31
"The troublesome offspring of Cardinal Guzman :","De Bernieres, Louis.",0688125832,22
"Bagombo snuff box :","Vonnegut, Kurt.","0399145052 (alk. paper)",5
"Rain fall /","Eisler, Barry.","0399149104 (acidfree paper)",69
"Tales of the dead /",,"0517618184 :",16
"Guilt is the teacher, love is the lesson /","Borysenko, Joan.",0446514659,44
"The dew breaker /","Danticat, Edwidge,","1400041147 (alk. paper)",47
"Open house :","Berg, Elizabeth.","0375501002 (acidfree paper)",13
"Goodbye Tsugumi :","Yoshimoto, Banana,",0802116388,25
"Smoker /","Rucka, Greg.",055310716X,40
"Bathrooms /","Cahill, Coleen.","156799928X (pbk.)",84
"Nutcracker /","Hoffmann, E. T. A.",051755285X,23
"Forever flying :","Hoover, R. A.",0671537601,23
"Falconer's judgement /","Morson, Ian Nairne.",0312139713,19
"Inheritance :","Baker, Keith",0688153216,37
"Sootface :","San Souci, Robert D.","0385312024 :",53
"Harriet, you'll drive me wild /","Fox, Mem,",0152019774,113
"Clark Gable :","Harris, Warren G.","0609604953 (hc)",45
"II Chronicles /",,,
"Secrets of six-figure women :","Stanny, Barbara.",0060185481,46
"The moneychangers /","Hailey, Arthur.",0385008961,43
"Nothing makes you free :",,0393050467,13
"The search for self-respect.","Maltz, Maxwell,",0448012936,18
"On a night like this /","Sussman, Ellen,",0446531413,17
"The Berlitz self-teacher, German /","Strumpen-Darrie, Robert.",,42
"Charles Darwin and the evolution revolution /","Stefoff, Rebecca,","0195089960 (lib. bdg. : acidfree paper)",49
"Last scene alive /","Harris, Charlaine.",0312262469,58
"The joys of Yiddish;","Rosten, Leo Calvin,",,29
"Mary's land /","Robson, Lucia St. Clair.",0345371968,45
"Stone kiss:","Kellerman, Faye.",0446530786,93
"Grave concerns /","Tope, Rebecca.",0312281277,17
"Riverside Drive :","Van Wormer, Laura,","0385244673 :",86
"Saving your brain :","Victoroff, Jeffrey Ivan.","0553109448 (hbk.)",36
"A time to kill ","Grisham, John.","0385470789 (lg. print) : | 0385470819",108
"Material witness /","Tanenbaum, Robert.",0525935797,72
"Face down upon an herbal /","Emerson, Kathy Lynn.",0312180926,42
"Healthy crockery cookery /","Hoffman, Mable,","1557882908 (pbk.)",113
"Here we all are /","DePaola, Tomie,",0399234969,44
"Chicago blues /","Holton, Hugh.",0312859848,27
"The Saint John's fern :","Sedley, Kate.",0312276834,41
"Winning softball for girls /","Gola, Mark.","081604709X (HC : alk. paper) | 0816047103 (PB : alk. paper)",35
"Don't look back /","Fossum, Karin,",0151010323,47
"Look away! :","Davis, William C.,",0684865858,17
"A short history of the Civil War /","Stokesbury, James L.","0688115233 (acidfree paper)",41
"Fade to black /","Staub, Wendy Corsi.",157566285X,47
"If I asked you, would you stay? /","Bunting, Eve,","0397320655 : | 0397320663 (lib. bdg.) :",
"The Hindenburg /","O'Brien, Patrick,","080506415X (hc : alk. paper)",38
"Farther than any man :","Dugard, Martin.",0743400682,21
"Cherry :","Karr, Mary.","0670892742 (acidfree paper) | 0670893742",36
"Midnight whispers ","Matthews, Patricia,","0896215822 (lg. print)",32
"Where is the mango princess? /","Crimmins, C. E.","0375404910 | 0375704426 (pbk.)",43
"The essential mystics :",,078580904X,23
"The Cardinal sins ","Greeley, Andrew M.,",,27
"Essential Tibetan Buddhism /","Thurman, Robert A. F.","0785808728 :",40
"Demonic males :","Wrangham, Richard W.,",0395690013,16
"Briefing for a descent into Hell","Lessing, Doris May,",0394421981,6
"Big Wolf and Little Wolf /","Denslow, Sharon Phillips.","068816174X (trade : alk. paper) | 0688161758 (lib. bdg. : alk. paper)",128
"A baby's coming to your house! /","Thomas, Shelley Moore.",0807505021:,12
"Behind the scenes at the museum :","Atkinson, Kate.",0312139284,124
"The dive from Clausen's pier /","Packer, Ann,","0375412824 (cloth)",19
"Finding home /","Kherdian, David.","0688004008 : | 0688004016 (lib. bdg.) :",6
"Big Jabe /","Nolen, Jerdine.","0688136621 (trade) | 068813663X (lib. bdg.)",27
"Echoes of the Mekong /","Huchthausen, Peter A.,",1877853410,16
"The secret war for the union :","Fishel, Edwin C.",,15
"Myst :","Miller, Rand.",0786861592,56
"Hugo and the bully frogs /","Simon, Francesca.",186233093X,92
"Rising sun :","Crichton, Michael,","0679410171 :",86
"The book of Abraham /","Halter, Marek.",0030718872,35
"My wars are laid away in books :","Habegger, Alfred.",0679449868,22
"Perchance to dream :","Parker, Robert B.,",,54
"Shakespeare's landlord /","Harris, Charlaine.",0312144156,91
"The promise /","Buck, Pearl S.",,14
"The Mediterranean kitchen /","Goldstein, Joyce Esersky.",0688072836,50
"Par Lagerkvist /","Sjoberg, Leif.",0231031033,
"The canary trainer :","Meyer, Nicholas.",0393036081,25
"Confessions of a sociopathic social climber :","Lang, Adele.","0312288115 (hc.) :",28
"Listening woman /","Hillerman, Tony.","0060119012 :",57
"Among the heroes :","Longman, Jere.",0060099089,20
"Death of a dustman /","Beaton, M. C.",0892966319,83
"Living Zen /","Linssen, Robert.","0802131360 (pbk.)",39
"Don't call me Beanhead! /","Wojciechowski, Susan.","1564023192 :",103
"In a strange city /","Lippman, Laura,",0380978180,85
"Dust to dust /","Hoag, Tami.",0553106341,85
"Beyond valor :","O'Donnell, Patrick K.,",0684873842,36
"Red cat, white cat /","Mandel, Peter,",080502929X,90
"Space Dog and Roy /","Standiford, Natalie.","0679889035 (pbk.) | 067998903X (lib. bdg.)",88
"The dance of connection :","Lerner, Harriet Goldhor.",0060196386,50
"2nd chance","Patterson, James,","0316695971 (large print)",114
"Codex /","Grossman, Lev.",0151010668,32
"The dig /","Foster, Alan Dean,",0446518530,44
"Hitler and Stalin :","Bullock, Alan,","0394586018 :",27
"The ersatz elevator : a series of unfortunate events ; bk. 6 /","Snicket, Lemony.","0060288892 (lib. bdg.) | 0064408647 | 9780060288891 (lib. bdg.) | 9780064408646",36
"Perloo the bold /","Avi,","0590110020 (hardcover)",10
"Bobby Fischer goes to war :","Edmonds, David,",0060510242,14
"The complete travel books of Mark Twain,","Twain, Mark,",,16
"Heart of the night /","Delinsky, Barbara.",0446530964,98
"A better woman :","Johnson, Susan,",0743432967,16
"Her mother's shadow /","Chamberlain, Diane,",0778320170,75
"Life or death--who controls? /",,"0826120202. | 0826120210",37
"1001 things everyone should know about the universe /","Gutsch, William A.",038548223X,51
"The life and works of Gainsborough /","Doeser, Linda.","0831738146 | 1573350311",10
"Spider Storch's music mess /","Willner-Pardo, Gina.","0807575836 | 0807575844 (pbk.)",115
"American Jezebel :","LaPlante, Eve.",0060562331,13
"Border crossing /","Barker, Pat,","0374181152 (alk. paper)",34
"Life sentence /","Ellis, David,","0399149791 (acidfree paper)",48
"The mystery of King Karfu /","Cushman, Doug.","0060247967 | 0060247975 (lib. bdg.)",90
"Men are from Mars, women are from Venus :","Gray, John,","006016848X (cloth) :",9
"First impressions :","Demarais, Ann.",0553803204,54
"The Mother Goose cookbook :","Mayer, Marianna.",,27
"Murder at the altar /","Heley, Veronica.","0002740737 :",73
"An identification guide to cat breeds /","Caravan, Jill.",0831748192,68
"Destination: Space /","Simon, Seymour.","0688162894 | 0688162908 (lib. bdg.)",71
"Spider Storch's teacher torture /","Willner-Pardo, Gina.",0807575771,109
"Love invents us /","Bloom, Amy,",0679441093,63
"Nora, Nora :","Siddons, Anne Rivers.",006017613X,53
